SampleID	SampleType	Env
NOF014	China	Human
NOM001	China	Human
NOM002	China	Human
NOM004	China	Human
NOM005	China	Human
NOM007	China	Human
NOM008	China	Human
NOM009	China	Human
NOM010	China	Human
NOM012	China	Human
NOM013	China	Human
NOM014	China	Human
NOM015	China	Human
NOM016	China	Human
NOM017	China	Human
NOM018	China	Human
NOM019	China	Human
NOM020	China	Human
NOM022	China	Human
NOM023	China	Human
NOM025	China	Human
NOM026	China	Human
NOM027	China	Human
NOM028	China	Human
NOM029	China	Human
SRS011061	USA.HMP	Human
SRS011134	USA.HMP	Human
SRS011239	USA.HMP	Human
SRS011271	USA.HMP	Human
SRS011302	USA.HMP	Human
SRS011405	USA.HMP	Human
SRS011452	USA.HMP	Human
SRS011529	USA.HMP	Human
SRS011586	USA.HMP	Human
SRS012273	USA.HMP	Human
SRS012902	USA.HMP	Human
SRS013158	USA.HMP	Human
SRS013215	USA.HMP	Human
SRS013476	USA.HMP	Human
SRS013521	USA.HMP	Human
SRS013687	USA.HMP	Human
SRS013800	USA.HMP	Human
SRS013951	USA.HMP	Human
SRS014235	USA.HMP	Human
SRS014287	USA.HMP	Human
SRS014313	USA.HMP	Human
SRS014459	USA.HMP	Human
SRS014613	USA.HMP	Human
SRS014683	USA.HMP	Human
SRS014923	USA.HMP	Human
SRS014979	USA.HMP	Human
SRS015133	USA.HMP	Human
SRS015190	USA.HMP	Human
SRS015217	USA.HMP	Human
SRS015264	USA.HMP	Human
SRS015369	USA.HMP	Human
SRS015578	USA.HMP	Human
SRS015663	USA.HMP	Human
SRS015782	USA.HMP	Human
SRS015960	USA.HMP	Human
SRS016018	USA.HMP	Human
SRS016056	USA.HMP	Human
SRS016095	USA.HMP	Human
SRS016203	USA.HMP	Human
SRS016267	USA.HMP	Human
SRS016335	USA.HMP	Human
SRS016495	USA.HMP	Human
SRS016585	USA.HMP	Human
SRS016753	USA.HMP	Human
SRS016954	USA.HMP	Human
SRS016989	USA.HMP	Human
SRS017103	USA.HMP	Human
SRS017191	USA.HMP	Human
SRS017247	USA.HMP	Human
SRS017307	USA.HMP	Human
SRS017433	USA.HMP	Human
SRS017521	USA.HMP	Human
SRS017701	USA.HMP	Human
SRS017821	USA.HMP	Human
SRS018133	USA.HMP	Human
SRS018351	USA.HMP	Human
SRS018427	USA.HMP	Human
SRS018575	USA.HMP	Human
SRS018656	USA.HMP	Human
SRS018817	USA.HMP	Human
SRS019267	USA.HMP	Human
SRS019397	USA.HMP	Human
SRS019601	USA.HMP	Human
SRS019968	USA.HMP	Human
SRS020233	USA.HMP	Human
SRS020328	USA.HMP	Human
SRS020869	USA.HMP	Human
SRS022137	USA.HMP	Human
SRS023346	USA.HMP	Human
SRS043001	USA.HMP	Human
SRS045004	USA.HMP	Human
SRS045713	USA.HMP	Human
SRS048164	USA.HMP	Human
SRS049712	USA.HMP	Human
SRS049900	USA.HMP	Human
SRS049959	USA.HMP	Human
SRS050752	USA.HMP	Human
SRS052697	USA.HMP	Human
SRS053335	USA.HMP	Human
SRS053398	USA.HMP	Human
SRS054590	USA.HMP	Human
SRS054956	USA.HMP	Human
T2D.001	China	Human
T2D.002	China	Human
T2D.003	China	Human
T2D.004	China	Human
T2D.005	China	Human
T2D.006	China	Human
T2D.007	China	Human
T2D.008	China	Human
T2D.009	China	Human
T2D.010	China	Human
T2D.011	China	Human
T2D.012	China	Human
T2D.013	China	Human
T2D.014	China	Human
T2D.015	China	Human
T2D.016	China	Human
T2D.017	China	Human
T2D.018	China	Human
T2D.019	China	Human
T2D.020	China	Human
T2D.021	China	Human
T2D.022	China	Human
T2D.023	China	Human
T2D.024	China	Human
T2D.025	China	Human
T2D.026	China	Human
T2D.027	China	Human
T2D.028	China	Human
T2D.029	China	Human
T2D.030	China	Human
T2D.031	China	Human
T2D.032	China	Human
T2D.033	China	Human
T2D.034	China	Human
T2D.035	China	Human
T2D.036	China	Human
T2D.037	China	Human
T2D.038	China	Human
T2D.039	China	Human
T2D.040	China	Human
T2D.041	China	Human
T2D.042	China	Human
T2D.043	China	Human
T2D.044	China	Human
T2D.045	China	Human
T2D.046	China	Human
T2D.047	China	Human
T2D.048	China	Human
T2D.049	China	Human
T2D.050	China	Human
T2D.051	China	Human
T2D.052	China	Human
T2D.053	China	Human
T2D.054	China	Human
T2D.055	China	Human
T2D.056	China	Human
T2D.057	China	Human
T2D.058	China	Human
T2D.059	China	Human
T2D.060	China	Human
T2D.061	China	Human
T2D.062	China	Human
T2D.063	China	Human
T2D.064	China	Human
T2D.065	China	Human
T2D.066	China	Human
T2D.067	China	Human
T2D.068	China	Human
T2D.069	China	Human
T2D.070	China	Human
T2D.071	China	Human
T2D.072	China	Human
T2D.073	China	Human
T2D.074	China	Human
T2D.075	China	Human
T2D.076	China	Human
T2D.077	China	Human
T2D.078	China	Human
T2D.079	China	Human
T2D.080	China	Human
T2D.081	China	Human
T2D.082	China	Human
T2D.083	China	Human
T2D.084	China	Human
T2D.085	China	Human
T2D.086	China	Human
T2D.087	China	Human
T2D.088	China	Human
T2D.089	China	Human
T2D.090	China	Human
T2D.091	China	Human
T2D.092	China	Human
T2D.093	China	Human
T2D.094	China	Human
T2D.095	China	Human
T2D.096	China	Human
T2D.097	China	Human
T2D.098	China	Human
T2D.099	China	Human
T2D.100	China	Human
T2D.101	China	Human
T2D.102	China	Human
T2D.103	China	Human
T2D.104	China	Human
T2D.105	China	Human
T2D.106	China	Human
T2D.107	China	Human
