# Constructed from biom file
#OTU ID	oneuL1201	oneuL1202	oneuL120a1.2	oneuL120a1	oneuL120a2.2	oneuL120a2	oneuL120e1	oneuL1251	oneuL1252	oneuL125a1.2	oneuL125a1	oneuL125c1	oneuL131a1	oneuL1401	oneuL1402.2	oneuL1402	oneuL1403	oneuL1404.2	oneuL1404	oneuL2181	oneuL2191	oneuL2192	oneuL2201	oneuL2202	oneuL2421	oneuL2422	oneuL2431	oneuL2451	oneuL2461	oneuL3031	oneuL3041	oneuL304a1	oneuL304b1	oneuL3081	oneuL3082	oneuL308a1	oneuL3181	oneuL3182	oneuL3301.2	oneuL3301	oneuL330a1	oneuL3441	oneuL3461	oneuL3462	oneuLb401	oneuLcontroL1	oneuLcontroL2	oneuLh2411	oneuLH2412.2	oneuLh2412	oneuLs2101.2	oneuLs2101	oneuLs2301	oneuLs2401
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__	0	0	9	133	0	19	0	0	26	0	0	0	44	0	29	29	41	0	0	19	0	47	20	10	0	23	0	0	0	0	0	0	0	67	54	0	42	10	0	0	0	0	8	46	42	15	0	0	17	0	0	0	28	29
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Lentzea	0	0	0	11	3	3	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__	0	5	80	15	109	74	23	5	30	0	0	17	7	25	9	9	18	35	23	54	66	87	82	105	83	16	14	0	92	0	158	14	0	24	28	86	17	60	49	30	70	59	33	52	51	13	4	34	77	47	16	19	46	39
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia	0	0	2	0	0	0	10	22	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	31	6	86	26	6	0	80	143	53	201	0	56	26	0	0	0	2	0	6	17	109	23	58	2	5	96	21	0	12	0	10	9	0	26	7	0	5	7	9	18	16	0	4	9	5	0	0	0	15	9	37	27	13	8
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__	0	0	0	30	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea	0	0	0	42	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	49	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas	22	15	59	64	95	69	69	9	75	91	0	27	106	8	58	85	15	55	14	69	22	78	59	30	11	74	14	69	26	0	26	43	41	123	69	77	117	24	27	35	40	31	40	82	40	9	0	115	65	67	216	223	31	109
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Demequina	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	0	0	0	14	0	0	0	0	0	0	0	0	0	6	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	120	294	861	540	165	164	1477	1246	1384	292	0	1399	5010	10	151	268	0	6	16	324	1288	418	1201	377	75	4244	325	723	146	0	69	2824	364	185	143	171	301	93	166	118	146	12	76	211	36	38	7	239	248	150	880	939	84	219
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__	0	0	0	0	0	0	0	0	0	0	0	11	6	0	14	40	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	3	7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Cryptosporangium	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	6	0	0	0	0	0	3	2	0	0	0	0	3	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	26
