samples	_3082	_3181	_330A1	_3301.2	_s2101	_131A1	_120A2	_120A1.2	_2181	_2421	_1251	_1404.2	_1403	_120E1	_3031	_s2401	_3441	_3461	_125A1.2	_308A1	_3462	_1402	_125C1	_3182	_2451	_1402.2	_H2411	_3081	_2202	_304A1	_2422	_H2412	_H2412.2	_120A1	_1401	_1202	_120A2.2	_2191	_1252	_2201	_2431	_2192DILUTED1-10	_S2301	_304B1	_B401	_3041	_S2101.2	_2461
gi|142635|ARO_3002672|cat86__Bacillus_pumilus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|14278993|ARO_3002870|tet34__Vibrio_sp__No_6_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|142884|ARO_3000522|ErmG__Lysinibacillus_sphaericus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|143128|ARO_3002878|BcII__Bacillus_cereus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|143195|ARO_3000495|ErmD__Bacillus_licheniformis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|14326193|ARO_3003014|dfrA16__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607412375	0	0	0	0	0	0	0	0	0	0	0
gi|143739|ARO_3000179|tetL__Geobacillus_stearothermophilus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.290768566
gi|143932|ARO_3000578|CcrA_beta-lactamase__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|144187|ARO_3002654|APH(3_)-VIIa__Campylobacter_jejuni_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|144189|ARO_3002670|cat__Campylobacter_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
